event_id,user_id,event_type,product_id,product_category,event_timestamp,device_type,browser,operating_system,session_id,page_url,duration_seconds,referrer_source,ab_test_variant,country,city,is_bot,scroll_depth_pct,click_x,click_y,search_query,conversion_value
1,1709,share,235,Books,2024-12-19 12:05:27,mobile,Opera,Android,sess-oghnvasgxxns,/page/gbfrzm,220,none,control,AU,Lyon,true,,,,,
2,1082,wishlist,77,Automotive,2022-11-11 05:34:08,tablet,Chrome,Linux,sess-sbvqwtbenqgb,/page/kzkwll,28,twitter,variant_a,CA,Toronto,false,,,,,
3,1150,form_submit,,,2023-02-12 01:16:23,tablet,Chrome,Android,sess-ceysrilgewec,/page/vejipq,587,instagram,variant_a,JP,Osaka,false,,,,,
4,445,search,33,Food,2023-04-08 14:37:37,desktop,Edge,iOS,sess-ecfidxgjgmgz,/page/simjmz,470,affiliate,control,FR,Paris,false,,,,search term 179,
5,1177,scroll,,,2023-09-27 12:53:02,desktop,Safari,Linux,sess-hskigbvmhjjn,/page/ksvcll,236,google,variant_b,MX,Chicago,true,88.1,,,,
6,727,share,219,Clothing,2025-01-15 11:59:50,mobile,Chrome,iOS,sess-rzzfxvtxwkcl,/page/gcggah,116,instagram,variant_b,FR,Chicago,false,,,,,
7,425,page_view,3,Electronics,2023-11-28 10:49:22,tablet,Edge,Linux,sess-atcjfhidzegv,/page/mjbtpm,547,direct,variant_b,UK,São Paulo,false,,,,,
8,50,search,38,Home & Garden,2023-04-02 16:26:54,desktop,Opera,iOS,sess-xmvetwuczvqx,/page/qkoult,237,facebook,control,US,Munich,true,,,,search term 153,
9,1363,wishlist,378,Music,2025-05-06 15:57:09,desktop,Chrome,macOS,sess-rbjrdezuahei,/page/xfzmwy,354,affiliate,variant_a,BR,New York,true,,,,,
10,891,wishlist,,,2024-09-07 09:05:29,tablet,Firefox,macOS,sess-svzuvrkkivfs,/page/hbruui,147,none,variant_a,AU,London,true,,,,,
11,1242,share,150,Sports,2025-07-14 06:07:04,desktop,Chrome,macOS,sess-jcakvuupyzxk,/page/ugmlgq,47,direct,control,DE,Delhi,false,,,,,
12,,page_view,415,Clothing,2024-09-04 19:52:45,desktop,Firefox,macOS,sess-kaabieofvcsa,/page/zjogev,548,twitter,control,UK,London,false,,,,,
13,657,scroll,52,Sports,2025-07-01 23:07:27,tablet,Chrome,Windows,sess-qhdeizcsklcq,/page/kmookb,562,instagram,variant_a,MX,São Paulo,false,91.8,,,,
14,1170,wishlist,,,2024-03-07 05:02:56,tablet,Firefox,Linux,sess-ttlicoffnptk,/page/merqqd,309,email,variant_a,IN,Rio,true,,,,,
15,518,add_to_cart,,,2022-12-27 15:12:24,desktop,Chrome,Linux,sess-zzhewqncfvud,/page/agxhji,303,email,control,UK,Osaka,false,,,,,
16,1896,add_to_cart,,,2022-04-06 14:43:15,desktop,Chrome,iOS,sess-ulmcjyqqfbpo,/page/gdlzfi,499,email,control,BR,Berlin,false,,,,,
17,950,click,,,2023-07-25 17:20:45,tablet,Firefox,Android,sess-zlxtpioegfxz,/page/brbieu,356,google,variant_b,JP,Munich,true,,1906.0,935.9,,
18,,search,265,Clothing,2025-07-26 07:59:30,desktop,Safari,Windows,sess-mflvxibsoygc,/page/lbwqvx,567,instagram,variant_a,US,Rio,false,,,,search term 188,
19,1389,scroll,,,2023-08-20 11:18:43,tablet,Safari,macOS,sess-ygtzodusapve,/page/ipkyax,485,twitter,variant_b,MX,New York,false,62.3,,,,
20,1065,search,,,2023-07-16 23:07:05,mobile,Chrome,macOS,sess-qwifclxkdlqs,/page/bdoqsh,58,bing,control,UK,Chicago,true,,,,search term 27,
21,590,scroll,196,Books,2023-09-09 16:15:27,desktop,Edge,iOS,sess-yfqpiglwlbwi,/page/gslmfj,154,google,control,US,Monterrey,false,65.8,,,,
22,488,form_submit,,,2022-11-22 07:18:05,desktop,Firefox,Android,sess-prqdxswxqjav,/page/gavyrm,560,direct,variant_b,DE,London,false,,,,,
23,1865,purchase,,,2022-09-10 03:54:35,desktop,Firefox,Linux,sess-vwejrjirjzyh,/page/bdmvjq,443,youtube,control,MX,Munich,false,,,,,433.72
24,280,wishlist,,,2025-08-15 23:09:54,tablet,Edge,Android,sess-xfmnmogqnttu,/page/yeiqlp,307,instagram,variant_b,JP,Mexico City,true,,,,,
25,302,scroll,,,2025-05-29 03:45:01,tablet,Opera,Linux,sess-ronazettyssx,/page/sdyisk,108,affiliate,variant_a,AU,Mexico City,false,68.1,,,,
26,584,video_play,278,Home & Garden,2024-11-09 02:18:25,desktop,Opera,Android,sess-nefbhvgdgjhu,/page/jmluug,160,bing,variant_a,IN,London,true,,,,,
27,1856,add_to_cart,,,2025-08-20 01:12:48,tablet,Opera,Linux,sess-gekzuezfqfqy,/page/bqtfkj,255,bing,variant_b,MX,Tokyo,true,,,,,
28,585,add_to_cart,171,Books,2025-07-15 05:41:29,desktop,Firefox,iOS,sess-fuegqkuliopk,/page/irtdix,267,google,variant_b,JP,Tokyo,true,,,,,
29,20,share,,,2025-11-03 11:16:38,mobile,Edge,iOS,sess-nddmmaexfvko,/page/cwrvsd,30,none,variant_b,AU,Paris,true,,,,,
30,649,click,318,Food,2022-10-30 23:33:48,tablet,Edge,Linux,sess-cewnobqwifqn,/page/fmhhqw,322,youtube,variant_b,AU,Toronto,false,,1738.0,806.4,,
31,1239,scroll,286,Clothing,2024-01-16 08:37:04,tablet,Edge,macOS,sess-ofucirqcgglu,/page/hnevhp,88,email,variant_b,US,Mexico City,false,51.3,,,,
32,1964,form_submit,442,Electronics,2022-12-06 11:46:16,desktop,Opera,Linux,sess-efovkyixmqxw,/page/rdolrc,125,bing,control,BR,Vancouver,false,,,,,
33,488,click,300,Home & Garden,2024-09-04 13:54:53,mobile,Firefox,macOS,sess-caooqxaygiwh,/page/gqulxr,217,bing,control,MX,Tokyo,true,,694.1,693.3,,
34,803,share,226,Home & Garden,2025-06-22 20:03:13,mobile,Edge,Android,sess-piwjgjegvlpo,/page/ldzmnz,496,facebook,variant_b,US,Rio,true,,,,,
35,68,search,206,Music,2025-05-14 02:25:54,tablet,Firefox,Windows,sess-lgsnrivvfgux,/page/vmaksz,295,direct,variant_b,US,Berlin,false,,,,search term 81,
36,1812,click,46,Clothing,2022-07-17 00:49:19,desktop,Safari,Windows,sess-ybzfnguajwom,/page/scvnes,598,email,control,UK,Tokyo,true,,937.5,185.1,,
37,687,purchase,346,Music,2024-08-04 09:30:56,desktop,Chrome,Android,sess-dctivnqutgja,/page/wqwqie,58,bing,control,FR,Mumbai,false,,,,,329.38
38,935,share,144,Books,2023-04-03 17:22:18,desktop,Opera,macOS,sess-vxcjoikjaauf,/page/hainvj,104,direct,control,MX,São Paulo,true,,,,,
39,406,page_view,,,2025-08-25 07:15:11,desktop,Firefox,macOS,sess-awgarjbyzfac,/page/ozgfrf,280,none,variant_b,CA,Chicago,false,,,,,
40,,wishlist,156,Clothing,2023-04-15 02:21:44,tablet,Firefox,macOS,sess-owhbecmkldow,/page/mowmha,2,direct,variant_a,JP,Vancouver,false,,,,,
41,904,page_view,252,Books,2023-12-12 12:03:48,desktop,Firefox,Windows,sess-zontwnjgsujh,/page/yfgzaa,528,facebook,control,IN,Chicago,false,,,,,
42,1028,click,13,Food,2023-01-24 02:08:32,tablet,Chrome,iOS,sess-vxvaehtugmuo,/page/kaeobz,35,youtube,control,JP,Berlin,true,,69.4,418.3,,
43,1508,page_view,497,Toys,2023-05-16 22:19:33,mobile,Safari,Linux,sess-dimoeyhytbsz,/page/wcbnmh,123,affiliate,variant_a,FR,Monterrey,false,,,,,
44,35,search,,,2022-11-18 16:39:13,tablet,Firefox,Linux,sess-wkftbcyaignq,/page/iwphst,415,instagram,variant_b,BR,Delhi,true,,,,search term 88,
