order_item_id,order_id,product_id,product_name,category,quantity,unit_price,subtotal,discount_amount,tax_rate,tax_amount,returned,return_reason,fulfillment_type,is_digital,gift_wrap,seller_id,warehouse_id,ship_date
1,160,120,Product_120,Automotive,4,723.58,2798.42,95.9,0.1178,329.65,true,,in_store,true,true,SEL-071,WH-12,2024-06-23
2,1483,284,Product_284,Music,2,149.75,268.85,30.65,0.0753,20.24,false,,dropship,false,false,SEL-072,WH-15,2023-12-18
3,273,377,Product_377,Food,3,478.45,1304.23,131.12,0.1054,137.47,false,,dropship,true,true,SEL-059,WH-06,2022-07-03
4,2829,309,Product_309,Electronics,2,567.79,1102.28,33.3,0.0998,110.01,true,arrived_late,in_store,false,true,SEL-005,WH-15,2025-02-03
5,4293,304,Product_304,Toys,2,99.49,169.16,29.82,0.1028,17.39,false,,in_store,true,false,SEL-055,WH-07,2025-07-02
6,3733,335,Product_335,Toys,3,956.22,2778.77,89.89,0.0832,231.19,true,arrived_late,in_store,false,false,SEL-087,WH-03,2024-08-11
7,2824,298,Product_298,Electronics,5,103.1,491.6,23.9,0.0912,44.83,true,,dropship,true,false,SEL-015,WH-09,2024-03-24
8,4558,311,Product_311,Food,1,1092.48,1032.11,60.37,0.0962,99.29,true,,in_store,true,false,SEL-089,WH-08,2023-02-28
9,3747,488,Product_488,Electronics,5,1005.33,4990.44,36.21,0.101,504.03,true,changed_mind,dropship,false,true,SEL-058,WH-07,2025-07-22
10,2531,348,Product_348,Toys,3,1430.14,3984.79,305.63,0.0717,285.71,false,,digital_delivery,false,true,SEL-023,WH-07,2025-10-03
11,841,115,Product_115,Music,1,1079.38,763.78,315.6,0.0516,39.41,false,,dropship,false,true,SEL-016,WH-07,2025-08-25
12,3820,123,Product_123,Home & Garden,2,808.95,1572.02,45.88,0.085,133.62,false,,dropship,false,false,SEL-008,WH-04,2024-05-22
13,2942,465,Product_465,Sports,3,983.88,2869.1,82.54,0.0596,171.0,true,changed_mind,in_store,false,false,SEL-090,WH-19,2023-11-30
14,3239,176,Product_176,Automotive,5,178.69,852.08,41.37,0.088,74.98,true,,in_store,false,true,SEL-055,WH-05,2025-09-16
15,90,188,Product_188,Food,5,945.5,4697.87,29.63,0.1134,532.74,true,arrived_late,dropship,false,true,SEL-002,WH-01,2022-08-26
16,3337,161,Product_161,Clothing,2,435.72,807.03,64.41,0.0887,71.58,false,,digital_delivery,true,false,SEL-075,WH-05,2023-05-15
17,4343,179,Product_179,Clothing,1,158.27,116.06,42.21,0.0551,6.39,true,defective,digital_delivery,true,false,SEL-029,WH-09,2023-04-16
18,41,224,Product_224,Beauty,1,671.89,511.84,160.05,0.1045,53.49,true,,in_store,true,false,SEL-080,WH-17,2023-06-26
19,1783,317,Product_317,Toys,3,558.76,1508.74,167.54,0.0775,116.93,true,defective,dropship,false,false,SEL-049,WH-10,2023-03-24
20,4442,330,Product_330,Music,3,502.68,1430.36,77.68,0.0819,117.15,false,,digital_delivery,false,true,SEL-020,WH-17,2023-02-21
21,3674,178,Product_178,Books,2,1208.3,2121.63,294.97,0.1185,251.41,false,,digital_delivery,true,true,SEL-046,WH-12,2023-11-16
22,3594,425,Product_425,Electronics,2,105.33,201.53,9.13,0.0782,15.76,false,,in_store,false,true,SEL-078,WH-18,2022-09-20
23,3627,315,Product_315,Sports,3,566.8,1624.95,75.45,0.0993,161.36,true,arrived_late,digital_delivery,false,true,SEL-028,WH-05,2024-06-30
24,603,52,Product_52,Toys,4,143.4,538.72,34.88,0.0694,37.39,true,defective,warehouse,true,true,SEL-015,WH-07,2023-03-05
25,2673,295,Product_295,Books,5,748.98,3574.24,170.66,0.0773,276.29,true,,warehouse,false,true,SEL-071,WH-19,2025-08-14
26,4071,323,Product_323,Electronics,5,494.89,2459.24,15.21,0.0933,229.45,false,,in_store,false,true,SEL-067,WH-01,2024-09-02
27,114,376,Product_376,Toys,1,461.71,425.84,35.87,0.0589,25.08,false,,digital_delivery,true,true,SEL-045,WH-18,2022-01-27
28,269,37,Product_37,Electronics,1,952.55,733.99,218.56,0.0544,39.93,true,,dropship,false,true,SEL-006,WH-07,2023-09-04
29,4632,73,Product_73,Food,2,1431.68,2616.2,247.16,0.0925,242.0,false,,dropship,false,false,SEL-094,WH-12,2025-11-25
30,3900,387,Product_387,Beauty,1,1091.54,787.69,303.85,0.0629,49.55,true,defective,dropship,true,false,SEL-088,WH-16,2022-03-09
31,3181,153,Product_153,Books,2,569.51,973.21,165.81,0.116,112.89,true,,warehouse,false,true,SEL-028,WH-15,2022-12-21
32,3810,379,Product_379,Food,1,961.82,937.23,24.59,0.1068,100.1,true,wrong_item,digital_delivery,true,false,SEL-013,WH-19,2025-11-07
33,3001,226,Product_226,Beauty,1,1045.98,1019.59,26.39,0.0919,93.7,true,not_as_described,in_store,false,true,SEL-073,WH-03,2024-01-22
34,3920,19,Product_19,Home & Garden,3,323.3,921.34,48.56,0.1,92.13,true,arrived_late,digital_delivery,false,false,SEL-089,WH-18,2024-03-10
35,1124,157,Product_157,Music,5,1372.62,6862.06,1.04,0.0672,461.13,false,,in_store,false,false,SEL-095,WH-04,2022-08-04
36,1753,52,Product_52,Beauty,5,1311.93,6377.66,181.99,0.1198,764.04,true,not_as_described,digital_delivery,false,true,SEL-036,WH-08,2024-03-14
37,2239,324,Product_324,Books,2,192.47,338.98,45.96,0.1057,35.83,true,wrong_item,dropship,true,true,SEL-052,WH-08,2024-06-29
38,2450,40,Product_40,Automotive,5,717.32,3530.13,56.47,0.0864,305.0,false,,in_store,false,false,SEL-040,WH-19,2022-05-05
