order_id,user_id,order_date,status,total_amount,payment_method,shipping_type,channel,warehouse_id,coupon_code,discount_amount,tax_amount,shipping_fee,estimated_delivery,actual_delivery,num_items,is_gift,order_rating,ip_address,currency
1,432,2023-01-11 23:22:32,pending,2485.95,crypto,free,mobile_app,WH-16,VIP25,514.48,293.36,0.1,2023-01-18,,10,false,4.8,34.135.160.181,USD
2,1425,2025-04-18 08:42:30,delivered,437.3,gift_card,free,web,WH-08,NEWUSER15,51.04,31.87,15.23,2025-04-28,2025-04-30,3,false,3.6,208.156.138.8,USD
3,1614,2024-09-15 08:02:52,delivered,570.33,bank_transfer,free,web,WH-14,SUMMER20,79.51,55.72,9.19,2024-09-25,2024-09-27,4,true,1.2,123.126.222.200,USD
4,957,2024-11-23 12:41:28,processing,1581.25,crypto,free,marketplace,WH-11,,66.21,133.41,12.6,2024-11-29,2024-11-28,10,false,,206.44.87.156,USD
5,361,2023-06-19 19:15:33,delivered,117.86,crypto,standard,web,WH-17,,13.73,6.5,12.81,2023-06-28,2023-07-03,10,true,1.8,56.193.217.192,USD
6,631,2025-07-05 07:47:41,shipped,2213.51,bank_transfer,overnight,web,WH-18,,12.21,142.98,23.12,2025-07-11,2025-07-15,10,true,1.7,179.97.172.148,USD
7,1309,2023-07-02 12:35:37,pending,2723.8,credit_card,pickup,mobile_app,WH-18,NEWUSER15,501.05,158.69,20.83,2023-07-13,2023-07-17,5,true,,68.111.234.92,USD
8,1209,2023-06-26 23:07:51,delivered,296.71,crypto,free,marketplace,WH-09,SAVE10,7.31,17.85,24.29,2023-07-01,2023-06-29,6,true,2.5,147.242.237.75,USD
9,1694,2022-10-21 10:08:11,processing,1677.3,stripe,free,mobile_app,WH-10,VIP25,104.57,140.42,26.42,2022-11-02,2022-11-04,3,false,2.2,14.188.62.3,USD
10,1672,2025-02-09 14:46:38,shipped,546.14,paypal,express,mobile_app,WH-14,NEWUSER15,73.49,57.52,20.51,2025-02-12,2025-02-13,2,true,2.4,72.220.215.168,USD
11,1298,2023-04-20 03:53:45,cancelled,2029.96,crypto,pickup,marketplace,WH-09,WELCOME5,428.09,136.47,13.98,2023-04-28,2023-05-03,8,true,2.0,206.43.218.135,USD
12,1982,2023-11-09 14:42:49,delivered,1332.91,stripe,express,marketplace,WH-13,WELCOME5,202.51,111.44,14.94,2023-11-19,2023-11-18,1,false,,81.46.213.192,USD
13,577,2022-06-05 20:38:44,returned,2233.53,credit_card,free,web,WH-19,,325.7,123.29,15.41,2022-06-09,,1,true,,153.198.205.72,USD
14,511,2025-05-07 02:47:48,shipped,2068.54,paypal,standard,web,WH-19,SAVE10,283.22,246.54,5.4,2025-05-14,2025-05-13,5,false,1.9,54.231.16.170,USD
15,163,2022-02-17 03:32:53,returned,2647.96,crypto,standard,phone,WH-09,FLASH30,571.38,227.14,11.08,2022-02-26,2022-02-25,4,true,3.8,24.231.243.116,USD
16,737,2023-10-07 10:50:09,cancelled,2855.21,stripe,standard,web,WH-01,,686.89,342.41,0.2,2023-10-10,2023-10-15,4,false,1.9,145.43.105.41,USD
17,158,2025-07-08 20:00:14,processing,2398.71,bank_transfer,free,in_store,WH-09,WELCOME5,396.94,263.14,27.58,2025-07-12,2025-07-14,1,false,2.7,238.103.13.44,USD
18,1876,2024-10-07 05:59:14,cancelled,946.15,crypto,standard,web,WH-10,SUMMER20,24.13,110.23,7.49,2024-10-17,2024-10-19,8,true,,22.228.80.192,USD
19,497,2025-12-04 09:38:33,returned,219.46,gift_card,overnight,phone,WH-16,FLASH30,7.41,25.47,18.34,2025-12-16,2025-12-16,8,false,4.1,107.12.216.84,USD
20,526,2025-11-18 22:26:51,shipped,1512.25,stripe,overnight,web,WH-13,FLASH30,404.2,115.42,9.5,2025-11-25,,5,false,,170.191.177.129,USD
21,850,2025-03-21 18:12:27,pending,337.79,paypal,pickup,marketplace,WH-04,NEWUSER15,73.87,28.52,25.58,2025-03-24,2025-03-24,8,true,1.4,95.246.142.6,USD
22,1940,2022-04-28 12:00:46,delivered,1706.89,gift_card,overnight,web,WH-09,SUMMER20,343.68,188.43,10.62,2022-05-07,,3,false,4.0,24.230.76.232,USD
23,572,2025-03-05 19:14:20,pending,420.82,credit_card,overnight,web,WH-08,NEWUSER15,122.83,28.72,4.35,2025-03-13,2025-03-11,9,false,3.8,251.197.225.46,USD
24,842,2024-03-03 00:30:16,processing,763.68,gift_card,standard,phone,WH-13,VIP25,141.45,91.32,1.29,2024-03-07,2024-03-11,10,true,1.5,113.167.2.12,USD
25,879,2024-04-10 21:34:34,delivered,242.65,stripe,standard,web,WH-11,SUMMER20,19.27,19.37,17.3,2024-04-14,2024-04-15,10,true,4.1,222.117.200.22,USD
26,661,2022-02-28 15:44:47,delivered,97.6,stripe,pickup,in_store,WH-06,FLASH30,14.47,4.97,20.63,2022-03-09,2022-03-08,9,false,1.0,250.94.92.117,USD
27,895,2022-06-09 10:55:32,processing,1593.13,bank_transfer,express,in_store,WH-19,WELCOME5,204.51,133.54,23.97,2022-06-17,2022-06-17,2,true,1.6,67.52.2.244,USD
28,1301,2024-07-08 10:30:47,delivered,2388.7,gift_card,free,in_store,WH-02,FLASH30,79.36,145.93,28.56,2024-07-21,2024-07-26,9,true,,44.175.197.12,USD
29,708,2024-07-10 04:57:46,processing,1756.15,paypal,free,mobile_app,WH-02,FLASH30,140.99,123.04,13.96,2024-07-24,2024-07-22,2,true,,107.24.190.4,USD
30,1761,2024-05-18 22:10:31,pending,1623.75,crypto,free,mobile_app,WH-15,,72.45,136.98,19.75,2024-06-01,,7,true,1.7,231.95.237.87,USD
31,1268,2023-07-01 09:54:20,cancelled,2656.14,stripe,overnight,marketplace,WH-13,WELCOME5,496.23,191.94,11.74,2023-07-09,2023-07-13,7,true,,99.219.252.14,USD
32,272,2025-04-27 12:57:07,pending,1085.64,gift_card,pickup,web,WH-13,FLASH30,319.44,82.83,14.65,2025-05-01,2025-05-01,3,false,2.1,5.156.112.144,USD
33,1640,2025-12-17 22:54:52,shipped,1394.63,credit_card,standard,web,WH-01,NEWUSER15,85.48,163.31,19.48,2025-12-27,2025-12-26,9,false,3.5,83.138.74.132,USD
34,589,2023-01-10 03:25:46,returned,2556.43,gift_card,overnight,phone,WH-01,VIP25,579.22,269.2,6.94,2023-01-12,2023-01-14,7,false,,228.9.98.71,USD
35,1158,2025-09-01 09:15:18,pending,2548.87,paypal,free,web,WH-05,NEWUSER15,187.32,193.99,23.9,2025-09-07,2025-09-05,6,true,4.3,41.217.116.109,USD
36,539,2023-07-27 04:16:40,shipped,349.61,stripe,overnight,in_store,WH-16,SAVE10,19.73,34.26,23.04,2023-08-03,2023-08-01,2,true,3.2,139.72.46.125,USD
37,630,2022-02-07 20:16:15,shipped,1154.6,crypto,express,marketplace,WH-12,,176.83,98.25,23.52,2022-02-16,2022-02-19,4,false,,216.94.229.15,USD
38,240,2022-10-20 20:55:26,cancelled,995.13,crypto,standard,marketplace,WH-09,,75.5,55.37,24.03,2022-10-30,2022-11-02,1,true,1.5,92.191.23.211,USD
39,593,2022-06-08 04:26:33,shipped,390.25,stripe,pickup,marketplace,WH-07,SAVE10,113.3,45.09,0.1,2022-06-14,2022-06-12,5,true,2.5,122.104.179.160,USD
40,298,2025-05-03 19:46:48,cancelled,2325.16,debit_card,overnight,mobile_app,WH-07,FLASH30,391.85,261.65,17.52,2025-05-12,2025-05-17,10,true,,97.250.13.94,USD
41,846,2022-11-05 15:52:49,processing,1240.29,crypto,overnight,marketplace,WH-03,FLASH30,16.88,69.04,9.05,2022-11-08,2022-11-09,10,true,3.5,229.110.99.149,USD
42,589,2025-09-12 22:18:34,shipped,577.18,paypal,free,marketplace,WH-04,SUMMER20,51.51,67.97,10.5,2025-09-25,2025-09-27,6,true,3.4,194.139.149.82,USD
43,223,2025-11-24 04:25:47,returned,887.7,gift_card,standard,mobile_app,WH-07,,186.75,93.46,27.87,2025-11-27,2025-12-02,7,false,2.0,40.207.211.54,USD
44,493,2025-06-16 20:28:24,returned,673.84,crypto,express,phone,WH-01,SUMMER20,104.74,63.47,7.18,2025-06-28,2025-06-26,3,true,3.4,7.199.79.63,USD
45,1587,2025-07-21 04:36:58,returned,1643.35,debit_card,free,in_store,WH-16,VIP25,214.71,125.83,15.45,2025-07-30,,8,false,2.6,244.109.51.106,USD
46,1032,2022-02-14 23:05:36,pending,1077.2,bank_transfer,free,web,WH-03,FLASH30,313.78,90.47,15.9,2022-02-24,2022-02-24,4,true,,76.118.127.13,USD
47,1293,2024-12-03 20:57:29,returned,1405.47,gift_card,free,mobile_app,WH-13,NEWUSER15,41.86,138.39,11.89,2024-12-06,,9,true,4.5,130.166.166.18,USD
48,1801,2023-10-21 01:37:43,returned,1637.88,gift_card,express,in_store,WH-06,FLASH30,282.03,83.19,11.35,2023-10-29,2023-10-28,3,false,1.2,97.82.128.238,USD
49,48,2023-10-19 00:06:11,pending,1642.34,bank_transfer,standard,marketplace,WH-07,SUMMER20,36.99,133.8,4.02,2023-10-31,2023-11-05,10,true,1.9,159.139.234.218,USD
50,709,2025-10-06 20:21:08,processing,2179.03,paypal,free,in_store,WH-18,NEWUSER15,168.27,189.9,13.68,2025-10-17,,5,false,3.1,235.188.162.35,USD
51,793,2022-04-04 00:28:30,shipped,556.57,crypto,pickup,marketplace,WH-16,VIP25,36.16,53.93,15.13,2022-04-06,2022-04-10,7,false,,57.163.6.136,USD
52,1022,2025-01-30 22:27:55,delivered,1671.79,crypto,pickup,marketplace,WH-16,,422.23,108.36,15.72,2025-02-11,2025-02-12,8,false,,230.20.85.202,USD
53,1956,2023-05-13 03:41:59,pending,1464.97,gift_card,free,in_store,WH-13,SAVE10,417.72,83.34,18.95,2023-05-22,2023-05-21,5,false,4.9,124.152.154.71,USD
54,1978,2025-01-27 12:44:47,delivered,763.57,stripe,express,web,WH-17,SUMMER20,44.99,44.12,29.28,2025-01-31,2025-01-29,6,true,3.5,236.233.112.134,USD
55,562,2025-01-15 16:29:12,cancelled,2747.33,bank_transfer,free,marketplace,WH-11,WELCOME5,208.58,139.97,3.45,2025-01-24,2025-01-28,7,false,,88.161.32.81,USD
56,1850,2023-06-18 18:26:38,cancelled,1995.33,credit_card,free,mobile_app,WH-05,VIP25,180.0,136.51,16.87,2023-06-26,2023-06-26,10,false,,121.157.69.12,USD
57,888,2024-10-31 22:00:19,processing,80.18,debit_card,pickup,mobile_app,WH-07,WELCOME5,7.56,8.35,3.13,2024-11-10,2024-11-11,9,false,3.2,36.39.91.166,USD
58,1805,2023-01-28 20:12:45,shipped,1275.38,crypto,pickup,web,WH-18,SUMMER20,191.69,101.38,16.89,2023-02-05,2023-02-03,4,true,2.5,126.166.237.21,USD
59,1446,2023-04-20 10:22:45,pending,2498.97,debit_card,free,phone,WH-10,WELCOME5,434.54,196.74,14.43,2023-05-02,2023-05-06,1,false,,163.211.9.150,USD
60,1638,2023-11-06 02:26:20,delivered,235.65,paypal,pickup,in_store,WH-10,SUMMER20,42.76,12.38,27.21,2023-11-09,,10,false,,240.184.63.10,USD
61,112,2022-05-30 06:20:53,processing,1428.97,gift_card,standard,in_store,WH-06,WELCOME5,222.46,98.33,12.0,2022-06-11,2022-06-16,5,true,3.6,88.170.172.141,USD
62,1169,2024-02-26 17:42:20,delivered,2802.47,paypal,free,marketplace,WH-04,,384.85,322.69,5.93,2024-03-06,2024-03-07,3,false,,16.160.136.174,USD
63,1368,2023-09-20 14:49:15,pending,2255.51,stripe,overnight,mobile_app,WH-05,NEWUSER15,44.47,131.4,14.84,2023-09-25,2023-09-27,1,false,2.4,233.201.65.63,USD
64,636,2025-07-16 13:01:32,shipped,1730.17,stripe,free,in_store,WH-03,,159.14,167.83,10.15,2025-07-24,2025-07-27,1,false,4.9,4.40.130.96,USD
65,1436,2024-06-09 03:29:11,cancelled,2632.88,stripe,overnight,marketplace,WH-06,,151.85,286.18,27.1,2024-06-19,2024-06-24,6,false,3.6,186.17.172.89,USD
66,1806,2023-05-17 23:48:59,returned,499.32,debit_card,standard,mobile_app,WH-05,FLASH30,118.24,43.47,23.54,2023-05-21,2023-05-19,2,false,4.8,118.180.71.76,USD
67,1318,2025-04-18 04:52:01,delivered,868.93,crypto,overnight,web,WH-10,WELCOME5,59.41,87.09,4.36,2025-05-01,2025-05-06,9,false,4.7,242.116.33.68,USD
68,1304,2024-09-15 16:51:38,pending,2295.91,stripe,free,web,WH-01,,495.48,261.61,14.42,2024-09-29,2024-09-30,5,false,,144.74.74.252,USD
69,356,2024-08-11 04:59:28,shipped,1528.51,bank_transfer,overnight,marketplace,WH-16,WELCOME5,265.47,102.92,11.38,2024-08-17,2024-08-17,9,true,,248.235.221.197,USD
70,369,2023-03-18 11:12:48,returned,1552.0,paypal,express,in_store,WH-12,NEWUSER15,33.26,114.8,10.91,2023-03-29,2023-03-28,6,false,4.3,247.29.166.38,USD
71,1579,2022-12-13 08:20:24,returned,867.6,debit_card,pickup,in_store,WH-20,VIP25,239.23,60.1,21.5,2022-12-22,2022-12-20,7,false,1.9,62.82.238.116,USD
72,1106,2025-03-10 08:03:32,pending,2352.42,gift_card,standard,mobile_app,WH-13,SUMMER20,646.71,258.72,18.58,2025-03-23,2025-03-22,3,true,1.3,25.248.168.131,USD
73,162,2023-05-12 01:42:28,pending,775.52,stripe,standard,marketplace,WH-12,VIP25,178.72,91.69,15.16,2023-05-17,2023-05-22,1,true,2.5,164.102.238.34,USD
74,789,2024-11-04 20:06:00,pending,659.77,gift_card,free,marketplace,WH-17,,87.84,41.27,7.66,2024-11-16,2024-11-17,3,false,2.8,190.125.10.124,USD
75,1052,2024-08-23 11:38:30,cancelled,2996.25,bank_transfer,pickup,phone,WH-07,NEWUSER15,667.41,284.21,13.23,2024-09-02,2024-09-05,3,true,3.6,208.132.76.93,USD
76,568,2023-02-20 20:48:09,processing,331.81,stripe,express,marketplace,WH-01,,67.58,30.21,20.21,2023-03-02,2023-03-07,10,false,,206.234.90.27,USD
77,647,2024-07-26 03:48:32,processing,2173.26,debit_card,express,web,WH-15,FLASH30,204.5,181.94,8.52,2024-08-09,2024-08-14,2,true,2.3,19.203.170.55,USD
78,1314,2023-04-10 02:33:21,pending,2453.67,gift_card,standard,web,WH-02,SAVE10,242.52,188.45,1.91,2023-04-18,2023-04-23,7,false,1.2,136.108.78.170,USD
79,1251,2025-04-12 21:07:43,returned,1693.52,debit_card,overnight,mobile_app,WH-17,VIP25,451.05,182.08,20.11,2025-04-26,2025-05-01,1,true,2.4,224.166.201.108,USD
80,396,2022-05-29 10:30:11,cancelled,1846.06,gift_card,express,phone,WH-10,VIP25,1.55,208.65,26.61,2022-06-06,2022-06-07,3,false,2.9,199.47.45.102,USD
