review_id,user_id,product_id,product_name,category,rating,review_title,review_text,review_date,verified_purchase,helpful_votes,unhelpful_votes,sentiment,media_count,seller_replied,reply_date,review_source,review_language,flagged_as_spam
1,546,361,Product_361,Automotive,1.9,Review title 1,This is review text for product 361. Rating: 1.9.,2023-10-25 00:28:05,false,115.0,4.0,mixed,8.0,true,2023-11-15,mobile_app,hi,true
2,41,329,Product_329,Food,4.6,Review title 2,This is review text for product 329. Rating: 4.6.,2023-09-17 17:07:33,false,185.0,10.0,positive,7.0,false,,third_party,fr,true
3,1072,77,Product_77,Toys,1.9,Review title 3,This is review text for product 77. Rating: 1.9.,2024-12-29 07:13:47,false,82.0,39.0,neutral,3.0,true,2025-01-21,email_invite,es,false
4,1207,215,Product_215,Beauty,4.3,Review title 4,This is review text for product 215. Rating: 4.3.,2025-12-16 00:17:26,true,159.0,9.0,neutral,1.0,false,,email_invite,ja,false
5,1773,395,Product_395,Sports,2.9,Review title 5,This is review text for product 395. Rating: 2.9.,2024-11-05 20:38:58,true,111.0,0.0,positive,3.0,true,2024-11-24,email_invite,de,false
6,1152,127,Product_127,Clothing,2.8,Review title 6,This is review text for product 127. Rating: 2.8.,2022-03-06 18:56:26,true,174.0,5.0,neutral,6.0,false,,mobile_app,es,true
7,1481,221,Product_221,Home & Garden,4.0,Review title 7,This is review text for product 221. Rating: 4.0.,2025-12-06 04:53:30,false,115.0,39.0,mixed,1.0,true,2025-12-26,third_party,fr,false
8,1218,167,Product_167,Sports,4.1,Review title 8,This is review text for product 167. Rating: 4.1.,2022-10-01 18:29:33,true,3.0,28.0,positive,4.0,true,2022-10-16,email_invite,pt,true
9,662,369,Product_369,Home & Garden,4.9,Review title 9,This is review text for product 369. Rating: 4.9.,2024-04-03 05:08:07,false,83.0,16.0,mixed,9.0,false,,website,es,false
10,1427,216,Product_216,Clothing,4.2,Review title 10,This is review text for product 216. Rating: 4.2.,2023-09-02 17:36:05,true,7.0,48.0,neutral,3.0,false,,website,pt,false
11,1174,461,Product_461,Music,3.2,Review title 11,This is review text for product 461. Rating: 3.2.,2024-03-22 06:12:28,false,49.0,10.0,mixed,9.0,false,,email_invite,en,true
12,513,266,Product_266,Home & Garden,3.6,Review title 12,This is review text for product 266. Rating: 3.6.,2022-05-05 03:19:30,true,185.0,21.0,positive,8.0,false,,email_invite,pt,false
13,190,466,Product_466,Food,4.6,Review title 13,This is review text for product 466. Rating: 4.6.,2024-05-04 01:01:09,true,17.0,27.0,negative,4.0,true,2024-05-14,mobile_app,pt,true
14,896,123,Product_123,Electronics,2.4,Review title 14,This is review text for product 123. Rating: 2.4.,2022-06-11 01:23:40,true,69.0,17.0,negative,6.0,false,,website,zh,true
15,1532,235,Product_235,Food,3.0,Review title 15,This is review text for product 235. Rating: 3.0.,2025-12-26 07:14:06,false,20.0,42.0,neutral,7.0,true,2026-01-18,mobile_app,fr,false
16,1933,490,Product_490,Clothing,1.7,Review title 16,This is review text for product 490. Rating: 1.7.,2024-08-30 14:23:11,true,46.0,35.0,mixed,6.0,false,,third_party,fr,true
17,590,441,Product_441,Beauty,2.5,Review title 17,This is review text for product 441. Rating: 2.5.,2023-01-18 23:17:03,false,17.0,17.0,negative,9.0,false,,mobile_app,hi,false
18,1828,203,Product_203,Books,4.9,Review title 18,This is review text for product 203. Rating: 4.9.,2023-08-14 00:11:18,true,35.0,36.0,negative,8.0,true,2023-08-23,mobile_app,ja,false
19,711,323,Product_323,Automotive,2.2,Review title 19,This is review text for product 323. Rating: 2.2.,2025-09-20 03:42:29,false,19.0,2.0,mixed,5.0,false,,website,es,true
20,1381,187,Product_187,Electronics,2.4,Review title 20,This is review text for product 187. Rating: 2.4.,2023-03-31 06:42:15,false,108.0,31.0,negative,4.0,true,2023-04-14,email_invite,de,false
21,1627,66,Product_66,Sports,4.4,Review title 21,This is review text for product 66. Rating: 4.4.,2024-03-09 20:44:52,true,122.0,45.0,negative,6.0,false,,website,en,false
22,958,224,Product_224,Automotive,3.7,Review title 22,This is review text for product 224. Rating: 3.7.,2025-09-15 07:26:35,true,43.0,32.0,negative,10.0,false,,mobile_app,de,false
